"Site","Species","Family","n","Country","State_Province","County","Localidade","decimalLatitude","decimalLongitude","mes_nonenso","ano_nonenso","mes_enso","ano_enso","season","typeVegatation","RD","Ψ50","Ψ88","ΨnonENSO","ΨENSO","VD","VA","Kh","Dh"
"LSF","Dypterix odorata","Fabaceae","2","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","0.14","-4.47","-6.22","-0.95","-2.61","285.6","13.2","6.5","30.1"
"LSF","Eschweilera coriaceae","Lecitidaceae","4","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","1.77","-1.57","-1.59","-1.41","-1.54","465.8","8.2","10.6","30.1"
"LSF","Eschweilera cyathiformis","Lecitidaceae","1","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","0.26","-3.05","-4.74","-0.8","-2895","NA","NA","NA","NA"
"LSF","Eschweilera sp.","Lecitidaceae","1","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","0.54","-2.47","-6.20","-1.71","-2545","303.0","19.9","3.1","19.4"
"LSF","Eschweilera wachenheimii","Lecitidaceae","2","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","3.02","-2.19","-2.86","-1.51","-1.59","337.4","12.1","7.7","29.3"
"LSF","Goupia glabra","Celastraceae","3","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","1.2","-2.2","-3.80","-0.57","-1.14","495.2","7.6","16.7","31.0"
"LSF","Gustavia elliptica","Lecitidaceae","3","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","0.09","-2.75","-6.64","-1.43","-1.63","890.6","6.2","5.1","20.8"
"LSF","Lecyths prancei","Lecitidaceae","3","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","0.76","-1.8","-2.13","-2.09","-1.93","384.2","10.0","9.5","30.2"
"LSF","Maquira sclerophylla","Moraceae","3","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","0.24","-2.21","-3.82","-1.07","-1.72","773.5","5.9","15.8","26.5"
"LSF","Minquartia guianensis","Olacaceae","2","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","1.21","-2.16","-4.56","-1.28","-1.8","611.2","11.1","2.0","16.3"
"LSF","Ocotea sp.","Lauraceae","2","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","0.16","-1.84","-3.60","-0.91","-2.16","206.8","17.8","12.8","33.5"
"LSF","Pouteria anomala","Sapotaceae","3","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","1.05","-1.01","-1.47","-0.9","-1.35","770.4","5.9","6.9","23.9"
"LSF","Pouteria erythrochrysa","Sapotaceae","1","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","0.38","-3.92","-6.96","-0.88","-1.43","NA","NA","NA","NA"
"LSF","Protium hebetatum","Burseraceae","3","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","0.64","-1.49","-3.52","-0.71","-1.16","697.9","8.5","5.8","19.3"
"LSF","Scleronema micranthum","Bombacaceae","3","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","1.37","-1.77","-1.97","-1.16","-1.13","602.3","5.8","23.9","34.5"
"LSF","Zygia racemosa","Fabaceae","3","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","0.85","-3.02","-6.19","-0.49","-1.16","188.1","27.6","3.5","23.0"
